firm,fieldwork,ÖVP ,SPÖ ,FPÖ 
,,,,
OGM ,16–23 Sep 2019 ,34,22,20
Research Affairs ,19–22 Sep 2019 ,34,23,21
Peter Hajek ,12–20 Sep 2019 ,34,22,20
Market ,16–18 Sep 2019 ,35,23,20
Research Affairs ,13–18 Sep 2019 ,34,23,20
Karmasin ,11–17 Sep 2019 ,34,22,20
OGM ,6–13 Sep 2019 ,35,22,20
Unique Research ,2–13 Sep 2019 ,33,22,20
Research Affairs ,6–11 Sep 2019 ,35,22,19
Karmasin ,5–10 Sep 2019 ,35,22,19
Market (Weekend) ,5–8 Sep 2019 ,34,22,21
Market ,2–4 Sep 2019 ,34,22,21
Research Affairs ,30 Aug–4 Sep 2019 ,36,22,20
Karmasin ,29 Aug–3 Sep 2019 ,35,21,20
GfK/Demox Research ,September 2019 ,34,23,21
Research Affairs ,22–28 Aug 2019 ,36,22,20
Unique Research ,19–22 Aug 2019 ,36,20,20
Research Affairs ,16–21 Aug 2019 ,35,21,19
Research Affairs ,9–14 Aug 2019 ,35,21,19
OGM ,8–12 Aug 2019 ,35,23,20
Kowarcz Marktforschung ,26 Jul–9 Aug 2019 ,31,20,22
Research Affairs ,1–7 Aug 2019 ,36,22,20
Market ,2–5 Aug 2019 ,35,22,20
Research Affairs ,25–31 Jul 2019 ,36,22,20
Research Affairs ,18–24 Jul 2019 ,36,22,20
Research Affairs ,5–17 Jul 2019 ,37,22,19
Unique Research ,8–12 Jul 2019 ,37,20,21
Research Affairs ,5–10 Jul 2019 ,37,22,18
IFES (for SPÖ) ,1–10 Jul 2019 ,37,23,19
Market ,8–9 Jul 2019 ,36,21,20
Research Affairs ,27 Jun–4 Jul 2019 ,37,22,18
Peter Hajek ,24–28 Jun 2019 ,38,20,20
Research Affairs ,14–20 Jun 2019 ,38,23,17
SORA ,31 May–10 Jun 2019 ,38,21,18
Market ,5–6 Jun 2019 ,38,22,19
Unique Research ,31 May–5 Jun 2019 ,37,20,21
Research Affairs ,29 May–4 Jun 2019 ,38,23,17
Research Affairs ,29–31 May 2019 ,38,23,17
Unique Research ,29–31 May 2019 ,38,21,19
OGM ,27–29 May 2019 ,36,22,21
GfK/Demox Research ,Late May 2019 ,37.5,22.5,18.5
Research Affairs ,18–20 May 2019 ,38,26,18
Research Affairs ,9–15 May 2019 ,34,25,23
GfK/Demox Research ,25 Apr–2 May 2019 ,34,27,22
Research Affairs ,25 Apr–1 May 2019 ,34,25,22
Research Affairs ,11–17 Apr 2019 ,34,24,23
Market ,12–15 Apr 2019 ,34,28,22
Unique Research ,8–12 Apr 2019 ,34,28,22
GfK/Demox Research ,28 Mar–11 Apr 2019 ,33,27,24
Research Affairs ,28 Mar–3 Apr 2019 ,34,24,23
Research Affairs ,14–20 Mar 2019 ,34,24,25
Unique Research ,11–15 Mar 2019 ,34,25,24
Unique Research ,4–7 Mar 2019 ,33,27,24
Research Affairs ,26 Feb–6 Mar 2019 ,34,24,24
Peter Hajek ,21–28 Feb 2019 ,34,27,23
Research Affairs ,13–20 Feb 2019 ,34,25,24
Unique Research ,11–15 Feb 2019 ,32,26,25
GfK/Demox Research ,5–8 Feb 2019 ,34,27,22
Research Affairs ,31 Jan–6 Feb 2019 ,34,25,23
Research Affairs ,17–23 Jan 2019 ,34,26,23
OGM ,15–17 Jan 2019 ,35,27,24
Unique Research ,7–11 Jan 2019 ,35,27,21
Research Affairs ,3–9 Jan 2019 ,34,26,24
Unique Research ,10–14 Dec 2018 ,35,26,22
Market ,7–12 Dec 2018 ,34,27,24
Research Affairs ,6–12 Dec 2018 ,34,25,24
Peter Hajek ,3–11 Dec 2018 ,35,26,22
GfK/Demox Research ,26 Nov–9 Dec 2018 ,34,26,23.5
Unique Research ,3–6 Dec 2018 ,33,26,22
Research Affairs ,22–28 Nov 2018 ,34,25,24
Unique Research ,12–16 Nov 2018 ,35,24,24
Market ,13–15 Nov 2018 ,33,26,25
Research Affairs ,8–14 Nov 2018 ,34,25,24
Peter Hajek ,22–31 Oct 2018 ,33,25,25
Research Affairs ,24–30 Oct 2018 ,34,25,25
Spectra ,9–29 Oct 2018 ,33,25,26
Research Affairs ,11–17 Oct 2018 ,34,26,24
Unique Research ,8–12 Oct 2018 ,34,26,25
OGM ,9–11 Oct 2018 ,34,26,26
GfK/Demox Research ,Early Oct 2018 ,33,27.5,23.5
Research Affairs ,27 Sep–3 Oct 2018 ,34,27,23
Market ,25–27 Sep 2018 ,33,28,23
Research Affairs ,19–20 Sep 2018 ,34,24,24
Spectra ,27 Aug–17 Sep 2018 ,32,25,27
Unique Research ,10–13 Sep 2018 ,34,28,25
Unique Research ,3–6 Sep 2018 ,33,29,23
Research Affairs ,30 Aug–5 Sep 2018 ,33,27,23
Peter Hajek ,23–29 Aug 2018 ,34,28,23
Market ,20–23 Aug 2018 ,33,28,23
Research Affairs ,16–22 Aug 2018 ,33,26,23
Spectra ,31 Jul–22 Aug 2018 ,32,26,26
Unique Research ,6–10 Aug 2018 ,34,29,23
Research Affairs ,2–8 Aug 2018 ,33,27,24
Research Affairs ,19–25 Jul 2018 ,33,27,24
Spectra ,4–23 Jul 2018 ,33,26,24
Unique Research ,9–13 Jul 2018 ,34,29,24
Research Affairs ,5–11 Jul 2018 ,33,26,24
Spectra ,6–29 Jun 2018 ,34,26,28
OGM ,26–28 Jun 2018 ,33,28,25
Research Affairs ,21–27 Jun 2018 ,33,26,25
Unique Research ,18–21 Jun 2018 ,33,27,25
Market ,12–15 Jun 2018 ,34,26,25
Research Affairs ,7–13 Jun 2018 ,33,26,25
Peter Hajek ,4–11 Jun 2018 ,34,26,25
Unique Research ,4–6 Jun 2018 ,33,27,25
Spectra ,9 May–5 Jun 2018 ,33,27,28
Research Affairs ,24–30 May 2018 ,32,26,24
Unique Research ,22–25 May 2018 ,32,25,25
Research Affairs ,10–16 May 2018 ,32,27,23
IMAS ,18 Apr–9 May 2018 ,33,28,26
Research Affairs ,26 Apr–2 May 2018 ,32,28,24
Spectra ,9–30 Apr 2018 ,34,28,27
Peter Hajek ,19–25 Apr 2018 ,33,26,26
Research Affairs ,12–18 Apr 2018 ,32,27,24
Unique Research ,8–13 Apr 2018 ,33,27,24
Research Affairs ,29 Mar–4 Apr 2018 ,32,28,23
Market ,26–29 Mar 2018 ,32,28,25
Spectra ,6–26 Mar 2018 ,31,27,29
Unique Research ,19–22 Mar 2018 ,32,30,23
OGM ,19–21 Mar 2018 ,32,28,24
Research Affairs ,14–21 Mar 2018 ,32,28,22
IMAS ,14 Feb–18 Mar 2018 ,32,28,25
Unique Research ,12–15 Mar 2018 ,31,28,25
Market ,6–8 Mar 2018 ,33,29,24
Research Affairs ,1–7 Mar 2018 ,32,27,24
Research Affairs ,15–21 Feb 2018 ,31,26,24
Peter Hajek ,12–20 Feb 2018 ,34,25,25
Spectra ,25 Jan–19 Feb 2018 ,33,28,26
Unique Research ,11–16 Feb 2018 ,33,26,26
Research Affairs ,1–8 Feb 2018 ,31,26,25
Research Affairs ,18–24 Jan 2018 ,31,27,26
Unique Research ,15–19 Jan 2018 ,34,27,25
Research Affairs ,4–10 Jan 2018 ,31,27,27
Peter Hajek ,18–21 Dec 2017 ,31,28,26
Market ,18–20 Dec 2017 ,33,27,26
Research Affairs ,18–20 Dec 2017 ,32,26,28
Unique Research ,11–15 Dec 2017 ,31,27,26
Market ,1–6 Dec 2017 ,32,26,26
Research Affairs ,4–6 Dec 2017 ,32,27,28
Research Affairs ,21–23 Nov 2017 ,32,27,27
Unique Research ,13–17 Nov 2017 ,32,28,24
Research Affairs ,7–9 Nov 2017 ,33,27,27
Market ,6–9 Nov 2017 ,31,28,26
Research Affairs ,18–20 Oct 2017 ,33,28,27
Christina Matzka ,16–17 Oct 2017 ,29.9,26.9,25.9
Research Affairs/Österreich ,2017-10-09 ,33,23,27
OGM/Kurier ,2017-10-05 ,33,27,25
Research Affairs/Österreich ,2017-10-04 ,34,22,27
Market/Standard ,2017-10-03 ,33,23,25
Unique Research/Heute & ATV ,2017-09-28 ,34,27,25
Research Affairs/Österreich ,2017-09-27 ,33,24,26
Spectra/OÖN ,2017-09-26 ,33,22,27
Matzka/NEWS ,2017-09-22 ,32,26,25
Unique Research/profil ,2017-09-22 ,33,24,24
OGM/Kurier ,2017-09-21 ,33,26,25
Research Affairs/Österreich ,2017-09-21 ,33,24,25
Research Affairs/Österreich ,2017-09-14 ,33,24,25
IMAS/Kronen Zeitung ,2017-09-11 ,34,23,24
OGM/Kurier ,2017-09-09 ,33,25,25
Market/Standard ,2017-09-06 ,33,26,24
Research Affairs/Österreich ,2017-09-06 ,33,24,24
Research Affairs/Österreich ,2017-08-31 ,33,23,24
Unique Research/Heute ,2017-08-30 ,33,24,23
Unique Research/profil ,2017-08-25 ,33,25,23
Research Affairs/Österreich ,2017-08-23 ,33,22,23
Hajek/ATV ,2017-08-16 ,32,27,24
Research Affairs/Österreich ,2017-08-15 ,34,22,24
GfK/Kurier ,2017-08-08 ,32,25,22
Akonsult/Bezirksblätter ,2017-08-04 ,32,25,25
Market/Der Standard ,2017-08-03 ,33,25,24
Research Affairs/Österreich ,2017-08-02 ,34,23,23
Unique Research/profil ,2017-07-27 ,33,26,22
OGM/Kurier ,2017-07-21 ,32,26,26
Research Affairs/Österreich ,2017-07-20 ,33,24,24
,,33,24,23
Research Affairs/Österreich ,2017-07-18 ,32,25,26
IMAS ,2017-07-14 ,35,25,24
GfK/Kurier ,2017-07-12 ,32,25,22
Matzka/NEWS ,2017-07-12 ,32,26,27
Research Affairs/Österreich ,2017-07-06 ,34,24,25
,,34,23,25
IFES (for SPÖ) ,2017-07-04 ,34,31,22
Research Affairs/Österreich ,2017-06-29 ,33,23,25
Spectra/OÖN ,2017-06-29 ,30,23,27
Unique Research/profil ,2017-06-23 ,32,28,25
Market/Der Standard ,2017-06-21 ,33,26,24
Research Affairs/Österreich ,2017-06-15 ,33,22,26
Hajek/ATV ,2017-06-08 ,34,26,24
Research Affairs/Österreich ,2017-06-02 ,34,21,26
meinungsraum.at (for NEOS) ,2017-05-31 ,31,28,24
Market/Der Standard ,2017-05-23 ,32,27,25
Unique Research/profil ,2017-05-19 ,33,27,26
OGM/Kurier ,2017-05-18 ,31,28,26
Unique Research/Heute[permanent dead link] ,2017-05-18 ,33,26,26
Research Affairs/Österreich ,2017-05-18 ,35,20,26
meinungsraum.at/ORF[d] ,2017-05-17 ,26,22,21
IFES (for SPÖ) ,2017-05-14 ,28,28,26
Research Affairs/Österreich ,2017-05-12 ,35,21,25
Market/Der Standard ,2017-05-08 ,21,28,29
Research Affairs/Österreich ,2017-04-28 ,22,29,32
Unique Research/profil ,2017-04-27 ,23,28,32
Spectra/OÖN ,2017-04-22 ,21,28,30
Research Affairs/Österreich ,2017-04-13 ,21,30,32
Research Affairs/Österreich ,2017-04-01 ,20,28,33
Market/Der Standard ,2017-03-19 ,20,29,30
Unique Research/profil ,2017-03-18 ,22,29,31
Research Affairs/Österreich ,2017-03-17 ,19,29,33
Research Affairs/Österreich ,2017-03-03 ,19,29,33
Unique Research/profil ,2017-02-18 ,20,29,31
Research Affairs/Österreich ,2017-02-16 ,19,28,34
Research Affairs/Österreich ,2017-02-04 ,20,29,33
Research Affairs/Österreich ,2017-01-07 ,18,27,34
Unique Research/profil ,2016-12-31 ,19,28,34
Gallup/Österreich ,2016-12-12 ,19,27,34
Gallup/Österreich ,2016-11-19 ,19,26,35
Unique Research/profil ,2016-10-15 ,18,28,34
Gallup/Österreich ,2016-10-08 ,19,27,34
Gallup/Österreich ,2016-09-24 ,19,27,34
Gallup/Österreich ,2016-09-09 ,20,26,34
Unique Research/profil ,2016-09-09 ,19,26,35
Hajek/ATV ,2016-09-02 ,21,26,34
OGM/Kurier ,2016-08-28 ,21,26,33
Gallup/Österreich ,2016-08-28 ,20,25,35
Gallup/Österreich ,2016-07-31 ,19,25,35
Unique Research/profil ,2016-07-18 ,20,24,35
Gallup/Österreich ,2016-07-10 ,19,25,34
Hajek/ATV ,2016-05-21 ,18,26,34
Gallup/Österreich ,2016-05-20 ,22,23,33
Gallup/Österreich ,2016-05-12 ,22,21,34
Gallup/Österreich ,2016-04-28 ,22,21,34
OGM/OÖN ,2016-04-09 ,23,23,31
Hajek/ATV ,2016-04-09 ,22,22,32
Unique Research/Heute ,2016-04-08 ,23,23,32
Gallup/Österreich ,2016-04-06 ,24,23,33
Unique Research/profil ,2016-03-19 ,24,22,32
Gallup/Österreich ,2016-03-11 ,23,23,33
Market/Der Standard ,2016-03-07 ,22,23,32
Unique Research/profil ,2016-02-20 ,24,23,32
Gallup/Österreich ,2016-01-31 ,23,22,33
Unique Research/Heute ,2016-01-24 ,24,22,31
Unique Research/profil ,2016-01-23 ,24,23,30
Gallup/Österreich ,2016-01-16 ,22,22,34
IMAS/Kronen Zeitung ,2015-12-20 ,25,26,27
Unique Research/profil ,2015-12-19 ,24,22,31
Gallup/Österreich ,2015-12-17 ,21,23,33
Unique Research/profil ,2015-11-21 ,20,22,32
Gallup/Österreich ,2015-11-19 ,21,24,33
Gallup/Österreich ,2015-11-05 ,21,24,32
Unique Research/profil ,2015-10-31 ,19,24,32
IMAS/Kronen Zeitung ,2015-10-22 ,24,25,32
Gallup ,2015-10-16 ,20,23,33
Unique Research ,2015-09-19 ,21,23,33
Gallup ,2015-09-18 ,21,25,32
Gallup ,2015-09-04 ,22,25,30
IMAS/Kronen Zeitung ,2015-08-23 ,26,26,26
Unique Research/profil ,2015-08-22 ,23,22,31
Gallup/Österreich ,2015-08-21 ,23,24,29
Market/Der Standard ,2015-08-19 ,22,23,29
Gallup/Österreich ,2015-07-31 ,23,23,29
Unique Research/profil ,2015-07-25 ,23,24,30
Gallup/Österreich ,2015-07-17 ,22,23,29
IMAS/Kronen Zeitung ,2015-07-12 ,26,26,27
Gallup/Österreich ,2015-07-03 ,24,23,28
Unique Research/Heute ,2015-06-26 ,23,24,29
IFES/Kurier ,2015-06-23 ,23,24,27
Unique Research/profil ,2015-06-20 ,24,23,28
Gallup/Österreich ,2015-06-19 ,24,24,28
IMAS/Kronen Zeitung ,2015-06-15 ,26,26,26
Hajek/ATV ,2015-06-10 ,25,23,28
Market/Der Standard ,2015-06-06 ,23,23,28
Gallup/Österreich ,2015-06-04 ,24,25,28
Gallup/Österreich ,2015-05-30 ,25,26,27
Unique Research/profil ,2015-05-21 ,25,26,27
Gallup/Österreich ,2015-05-14 ,25,25,26
Gallup/Österreich ,2015-05-10 ,25,26,26
Unique Research/profil ,2015-04-25 ,24,27,26
Gallup/Österreich ,2015-04-18 ,27,28,25
Gallup/Österreich ,2015-04-17 ,26,26,26
Gallup/Österreich ,2015-04-10 ,26,26,25
Gallup/Österreich ,2015-04-01 ,26,26,25
Market/Der Standard ,2015-03-29 ,24,23,26
Unique Research/Heute ,2015-03-27 ,27,26,24
Unique Research/profil ,2015-03-21 ,26,25,24
Gallup/Österreich ,2015-03-20 ,25,26,26
Gallup ,2015-03-13 ,24,25,27
Hajek/ATV ,2015-03-12 ,27,24,26
AKonsult/Mein Bezirk ,2015-03-10 ,25,25,27
Marked/Der Standard ,2015-03-08 ,23,22,27
Gallup/Österreich ,2015-02-27 ,24,25,26
IMAS/Kronen Zeitung ,2015-02-22 ,26,27,25
Unique Research/profil ,2015-02-21 ,26,26,26
meinungsraum.at/NEWS ,2015-02-13 ,25,26,26
meinungsraum.at/NEWS ,2015-02-12 ,24,25,27
Gallup/Österreich ,2015-02-06 ,24,22,26
Gallup/Österreich ,2015-01-31 ,25,25,26
Unique Research/profil ,2015-01-24 ,26,26,28
Gallup/Österreich ,2015-01-22 ,25,25,26
Gallup/Österreich ,2015-01-09 ,26,24,27
Market/Der Standard ,2015-01-01 ,23,23,26
OGM/Kurier ,2015-01-01 ,26,25,26
AKonsult/Mein Bezirk ,2014-12-29 ,26,24,26
IMAS/Kronen Zeitung ,2014-12-20 ,26,26,25
Unique Research/profil ,2014-12-20 ,28,25,25
Gallup/Österreich ,2014-12-18 ,27,23,26
Gallup/Österreich ,2014-12-05 ,26,24,25
Unique Research/heute ,2014-12-05 ,28,25,25
Gallup/Österreich ,2014-11-27 ,25,25,25
Hajek/ATV ,2014-11-27 ,28,24,26
meinungsraum.at/NEWS ,2014-11-27 ,24,23,27
OGM/Kurier ,2014-11-23 ,23,22,25
OGM/Kurier ,2014-11-22 ,27,25,25
Unique Research/profil ,2014-11-15 ,27,27,26
Gallup/Österreich ,2014-11-14 ,25,25,24
Gallup/Österreich ,2014-10-31 ,25,25,26
Gallup/Österreich ,2014-10-31 ,25,25,26
Gallup/Österreich ,2014-10-23 ,24,25,25
meinungsraum.at/NEWS ,2014-10-23 ,25,25,26
IMAS/Kronen Zeitung ,2014-10-19 ,24,25,24
Unique Research/profil ,2014-10-18 ,25,25,26
Gallup/Österreich ,2014-10-10 ,24,25,26
Market/Der Standard ,2014-10-10 ,21,22,26
Gallup/Österreich ,2014-10-02 ,24,25,26
Hajek/ATV ,2014-09-25 ,24,24,26
AKonsult/Mein Bezirk ,2014-09-19 ,24,25,26
Gallup/Österreich ,2014-09-18 ,23,25,26
Gallup/Österreich ,2014-09-13 ,21,25,27
Unique Research/profil ,2014-09-13 ,25,25,26
Unique Research/heute ,2014-09-04 ,24,25,26
Gallup/Österreich ,2014-09-04 ,20,25,28
Gallup/Österreich ,2014-08-30 ,19,25,28
Market/Der Standard ,2014-08-26 ,19,23,28
Gallup/Österreich ,2014-08-22 ,19,25,27
IMAS/Kronen Zeitung ,2014-08-09 ,22,26,24
Gallup/Österreich ,2014-08-09 ,19,25,28
Unique Research/profil ,2014-08-09 ,19,25,29
Gallup/Österreich ,2014-08-02 ,19,24,28
Gallup/Österreich ,2014-07-18 ,20,25,27
Market/Der Standard ,2014-07-13 ,18,22,27
Unique Research/profil ,2014-07-12 ,21,24,28
Gallup/Österreich ,2014-07-05 ,20,26,27
meinungsraum.at/NEWS ,2014-06-26 ,19,23,28
OGM/Kurier ,2014-06-21 ,22,26,25
Gallup/Österreich ,2014-06-18 ,21,25,27
Unique Research/profil ,2014-06-14 ,21,25,28
IMAS/Kronen Zeitung ,2014-06-13 ,23,27,24
Market ,2014-06-10 ,19,22,27
Hajek/ATV ,2014-06-08 ,20,25,27
Unique Research/Heute ,2014-06-06 ,22,24,26
Gallup/Österreich ,2014-05-28 ,21,25,26
2014 European election ,2014-10-25 ,27,24.1,19.7
Gallup/Österreich ,2014-05-10 ,20,24,25
Gallup/Österreich ,2014-05-01 ,20,24,24
Market/Der Standard ,2014-04-21 ,19,22,27
IMAS/Kronen Zeitung ,2014-04-16 ,22,26,23
Gallup/Östtereich ,2014-04-12 ,20,24,23
OGM/Kurier ,2014-04-06 ,21,26,24
Gallup/Östtereich ,2014-03-30 ,19,24,24
Gallup/Östtereich ,2014-03-23 ,20,22,24
meinungsraum.at/NEWS ,2014-03-20 ,18,24,27
IMAS/Kronen Zeitung ,2014-03-15 ,21,24,26
Hajek/ATV ,2014-03-13 ,20,24,27
Market/Der Standard ,2014-03-11 ,19,22,27
Gallup/Österreich ,2014-03-07 ,20,23,24
Gallup/Österreich ,2014-02-14 ,19,22,24
Gallup/Österreich ,2014-01-30 ,19,23,25
Market/Der Standard ,2014-01-19 ,20,23,26
IMAS/Kronen Zeitung ,2014-01-18 ,23,25,25
Gallup/Österreich ,2014-01-17 ,20,24,25
meinungsraum.at/NEWS ,2014-01-15 ,19,26,26
Gallup/Österreich ,2014-01-12 ,21,24,24
Market/Der Standard ,2013-12-22 ,20,24,26
Gallup/Österreich ,2013-12-21 ,20,24,24
Gallup/Österreich ,2013-12-14 ,21,24,24
Hajek/ATV ,2013-12-12 ,20,23,26
Market/Der Standard ,2013-12-06 ,21,23,25
Market/Der Standard ,2013-12-06 ,21,23,25
Gallup/Österreich ,2013-11-29 ,22,25,23
Market/trend ,2013-11-24 ,22,23,25
Karmasin/profil ,2013-11-23 ,23,26,23
Gallup/Österreich ,2013-11-16 ,23,26,23
Karmasin/Heute ,2013-11-08 ,23,27,22
Market/Der Standard ,2013-10-27 ,23,25,24
Karmasin/profil ,2013-10-26 ,23,26,23
Gallup/Österreich ,2013-10-25 ,24,27,22
Market/Der Standard ,2013-10-20 ,23,25,25
Gallup/Österreich ,2013-10-17 ,23,28,22
Gallup/Österreich ,2013-10-03 ,23,28,21
2013 legislative election ,2013-09-29 ,24,26.8,20.5
